"source","target"
"Convention Invitation","Invito Congresso"
"Commentary on James","Commento a Giacomo"
"Concordance","Concordanza"
"Convention video","Video Congresso"
"Index","Indice"
"Introduction to God’s Word","Introduzione alla Parola di Dio"
"JW Broadcasting","JW Broadcasting"
"Morning Worship","Adorazione Mattutina"
"Convention music video","Video musicali Congresso"
"Shepherd (ks)","Pascete (ks)"
"Making Music video","Video Fare musica"
"Our Ministry","Nostro ministero"
"Organization","Organizzazione"
"Original song video","Video Canzoni"
"Jehovah's Friend video","Video Diventa Amico di Dio"
"Children's song video","Video per bambini"
"Accomplish Your Ministry","Compi il tuo ministero"
"Qualified","Qualificati"
"Shepherd (sfl)","Pascete (sfl)"
"Addendum","Addendum"
"Bible Study Guidebook","Guida di studio della Bibbia"
"Worldwide Security","Sicurezza mondiale"
"Invitation to the Regional Convention","Invito al Congresso di Zona"
"Commentary on the Letter of James","Commento alla Lettera di Giacomo"
"Comprehensive Concordance of the New World Translation of the Holy Scriptures","Concordanza della Traduzione del Nuovo Mondo delle Sacre Scritture"
"Convention video","Video Congresso"
"Watch Tower Publications Index","Indice delle Pubblicazioni Watch Tower"
"Introduction to God’s Word","Introduzione alla Parola di Dio"
"JW Broadcasting video","Video JW Broadcasting"
"Morning Worship video","Video Adorazione mattutina"
"Regional Covention music video presentation","Video musicale Congresso di Zona"
"""Shepherd the Flock of God"" (ks)","""Pascete il Gregge di Dio"" (ks)"
"Making Music video","Video Fare musica"
"Organized to Accomplish Our Ministry","Organizzati per compiere il nostro ministero"
"Organization for Kingdom-Preaching and Disciple-Making","Organizzazione per predicare il Regno e fare discepoli"
"Original song video","Video Canzoni"
"Become Jehovah's Friend video","Video Diventa Amico di Geova"
"Children's song video","Video per bambini"
"Fully Accomplish Your Ministry","Compi pienamente il tuo ministero"
"Qualified to Be Ministers","Qualificati per essere ministri"
"""Shepherd the Flock of God"" (sfl)","""Pascete il Gregge di Dio"" (sfl)"
"Addendum to ""Shepherd the Flock of God""","Informazioni aggiuntive a ""Pascete il Gregge di Dio"""
"Guide for the Study of God’s Word","Una guida per lo studio della Parola di Dio"
"Worldwide Security Under the “Prince of Peace”","Sicurezza mondiale sotto il “Principe della pace”"
"Use ""Enjoy Life""","Utilizzare ""Vivere felice"""
"How to Use ""Enjoy Life"" in the Ministry","Come usare ""Vivere felice"" nel ministero"
